"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Kenya,"342,988",+5,"5,688                                ",,"337,274",+31,26,1,"6,101",101,"3,967,062","70,569","56,215,221 ",Africa,164,"9,883",14,0.09,,0.5
Albania,"334,701",,"3,602                                ",,"329,407",,"1,692",,"116,768","1,257","1,941,032","677,173","2,866,374 ",Europe,9,796,1,,,590
Botswana,"329,837",+7,"2,801                                ",,"327,027",+58,9,1,"135,115","1,147","2,026,898","830,300","2,441,162 ",Africa,7,872,1,3,,4
Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,2,567,0,,,"11,883"
Montenegro,"290,512",+51,"2,816                                ",,"286,986",+76,710,6,"462,636","4,484","2,738,556","4,361,105","627,950 ",Europe,2,223,0,81,,"1,131"
Brunei ,"283,345",,225                                ,,"243,601",,"39,519",3,"636,114",505,"717,784","1,611,437","445,431 ",Asia,2,"1,980",1,,,"88,721"
Algeria,"271,613",,"6,881                                ",,"182,898",+4,"81,834",,"5,989",152,"230,861","5,091","45,350,148 ",Africa,167,"6,591",196,,,"1,804"
Nigeria,"266,665",,"3,155                                ",,"259,938",,"3,572",11,"1,230",15,"5,708,974","26,339","216,746,934 ",Africa,813,"68,700",38,,,16
Zimbabwe,"264,555",,"5,681                                ",,"258,484",,390,12,"17,256",371,"2,525,756","164,744","15,331,428 ",Africa,58,"2,699",6,,,25
Uzbekistan,"252,071",,"1,637                                ",,"241,486",,"8,948",23,"7,331",48,"1,377,915","40,077","34,382,084 ",Asia,136,"21,003",25,,,260
Mozambique,"233,334",,"2,242                                ",,"228,805",,"2,287",11,"7,052",68,"1,371,127","41,437","33,089,461 ",Africa,142,"14,759",24,,,69
Martinique,"229,807",,"1,098                                ",,N/A,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087 ",North America,2,341,0,,,"611,101"
Laos,"218,037",,758                                ,,N/A,N/A,N/A,,"29,145",101,"1,233,207","164,845","7,481,023 ",Asia,34,"9,869",6,,,"28,020"
Afghanistan,"211,759",+136,"7,896                                ",,"192,510",+42,"11,353",45,"5,196",194,"1,221,600","29,975","40,754,388 ",Asia,192,"5,161",33,3,,279
Iceland,"209,191",,229                                ,,N/A,N/A,N/A,2,"605,661",663,"1,996,384","5,780,036","345,393 ",Europe,2,"1,508",0,,,"385,871"
Kyrgyzstan,"206,832",,"2,991                                ",,"196,406",,"7,435",131,"30,741",445,"1,907,195","283,460","6,728,271 ",Asia,33,"2,250",4,,,"1,105"
Guadeloupe,"202,163",,"1,012                                ",,N/A,N/A,N/A,19,"505,668","2,531","938,039","2,346,306","399,794 ",North America,2,395,0,,,"497,509"
El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,32,"1,549",3,,,"2,770"
Trinidad and Tobago,"191,157",,"4,379                                ",,"186,724",,54,8,"135,901","3,113","908,533","645,914","1,406,585 ",North America,7,321,2,,,38
Maldives,"185,894",+84,311                                ,,"163,687",,"21,896",25,"343,621",575,"2,213,831","4,092,223","540,985 ",Asia,3,"1,740",0,155,,"40,474"
Ghana,"171,527",,"1,462                                ",,"170,012",,53,2,"5,295",45,"2,534,561","78,238","32,395,450 ",Africa,189,"22,158",13,,,2
Namibia,"171,222",,"4,090                                ",,"167,099",,33,,"65,008","1,553","1,062,663","403,460","2,633,874 ",Africa,15,644,2,,,13
Uganda,"170,605",,"3,632                                ",,"100,431",,"66,542",3,"3,523",75,"3,012,408","62,198","48,432,863 ",Africa,284,"13,335",16,,,"1,374"
Jamaica,"154,644",,"3,529                                ",,"102,678",,"48,437",,"51,805","1,182","1,183,986","396,633","2,985,094 ",North America,19,846,3,,,"16,226"
Cambodia,"138,726",,"3,056                                ",,"135,668",,2,,"8,080",178,"3,091,420","180,062","17,168,639 ",Asia,124,"5,618",6,,,0.1
Rwanda,"133,194",,"1,468                                ",,"131,647",,79,,"9,793",108,"6,021,981","442,778","13,600,464 ",Africa,102,"9,265",2,,,6
Cameroon,"124,834",,"1,970                                ",,"122,640",,224,13,"4,472",71,"1,751,774","62,762","27,911,548 ",Africa,224,"14,168",16,,,8
Malta,"118,133",,832                                ,,"116,641",,660,4,"266,046","1,874","2,127,851","4,792,101","444,033 ",Europe,4,534,0,,,"1,486"
Barbados,"107,332",,582                                ,,"106,739",,11,,"372,651","2,021","799,983","2,777,497","288,023 ",North America,3,495,0,,,38
Angola,"105,331",,"1,934                                ",,"103,342",,55,,"3,007",55,"1,499,795","42,818","35,027,343 ",Africa,333,"18,111",23,,,2
Channel Islands,"101,717",,228                                ,,"101,321",,168,,"576,421","1,292","1,252,808","7,099,551","176,463 ",Europe,2,774,0,,,952
French Guiana,"98,041",,420                                ,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169 ",South America,3,748,0,,,"274,906"
DRC,"95,945",,"1,464                                ",,"84,489",,"9,992",,"1,007",15,"846,704","8,890","95,240,792 ",Africa,993,"65,055",112,,,105
Senegal,"88,978",,"1,971                                ",,"86,998",,9,,"5,040",112,"1,146,543","64,946","17,653,671 ",Africa,198,"8,957",15,,,0.5
Malawi,"88,717",+4,"2,686                                ",,"85,641",+21,390,67,"4,396",133,"624,784","30,959","20,180,839 ",Africa,227,"7,513",32,0.2,,19
Ivory Coast,"88,308",,834                                ,,"87,468",,6,,"3,183",30,"1,686,583","60,795","27,742,298 ",Africa,314,"33,264",16,,,0.2
Suriname,"82,495",,"1,404                                ",,N/A,N/A,N/A,,"138,222","2,352","241,666","404,915","596,831 ",South America,7,425,2,,,"52,502"
New Caledonia,"79,916",,314                                ,,"79,596",,6,9,"274,706","1,079","98,964","340,182","290,915 ",Australia/Oceania,4,926,3,,,21
French Polynesia,"78,219",,649                                ,,N/A,N/A,N/A,7,"275,260","2,284",,,"284,164 ",Australia/Oceania,4,438,,,,"155,086"
Eswatini,"74,323",,"1,425                                ",,"72,824",,74,,"62,730","1,203","1,048,704","885,119","1,184,817 ",Africa,16,831,1,,,62
Guyana,"73,120",,"1,298                                ",,"71,818",,4,,"92,085","1,635","726,398","914,807","794,045 ",South America,11,612,1,,,5
Belize,"70,782",,688                                ,,"70,085",,9,6,"171,722","1,669","576,016","1,397,453","412,190 ",North America,6,599,1,,,22
Fiji,"68,917",,883                                ,,"67,022",,"1,012",,"75,777",971,"670,225","736,943","909,466 ",Australia/Oceania,13,"1,030",1,,,"1,113"
Madagascar,"68,105",,"1,424                                ",,"66,566",,115,,"2,334",49,"528,968","18,129","29,178,077 ",Africa,428,"20,490",55,,,4
Sudan,"63,922",,"5,034                                ",,"58,621",+18,267,,"1,390",109,"562,941","12,240","45,992,020 ",Africa,720,"9,136",82,,,6
Mauritania,"63,668",,997                                ,,"62,441",,230,,"12,988",203,"1,009,957","206,030","4,901,981 ",Africa,77,"4,917",5,,,47
Cabo Verde,"63,281",+21,413                                ,,"62,786",,82,23,"111,473",728,"401,622","707,482","567,678 ",Africa,9,"1,375",1,37,,144
Bhutan,"62,649",,21                                ,,"61,564",,"1,064",,"79,510",27,"2,303,734","2,923,739","787,941 ",Asia,13,"37,521",0,,,"1,350"
Syria,"57,508",,"3,164                                ",,"54,344",,0,,"2,970",163,"146,269","7,553","19,364,809 ",Asia,337,"6,120",132,,,
Burundi,"53,706",,38                                ,,"53,569",,99,,"4,254",3,"345,742","27,386","12,624,840 ",Africa,235,"332,233",37,,,8
Seychelles,"50,937",,172                                ,,"50,750",,15,,"512,311","1,730",,,"99,426 ",Africa,2,578,,,,151
Gabon,"48,981",,306                                ,,"48,674",,1,,"21,008",131,"1,621,909","695,641","2,331,533 ",Africa,48,"7,619",1,,,0.4
Andorra,"47,930",,165                                ,,"47,563",,202,14,"618,747","2,130","249,838","3,225,256","77,463 ",Europe,2,469,0,,,"2,608"
Papua New Guinea,"46,835",,670                                ,,"43,982",,"2,183",7,"5,040",72,"249,149","26,813","9,292,169 ",Australia/Oceania,198,"13,869",37,,,235
Curaçao,"45,986",,295                                ,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529 ",North America,4,561,0,,,"5,866"
Aruba,"44,114",,236                                ,,"42,438",,"1,440",2,"409,947","2,193","177,885","1,653,068","107,609 ",North America,2,456,1,,,"13,382"
Tanzania,"42,959",,846                                ,,N/A,N/A,N/A,7,679,13,,,"63,298,550 ",Africa,"1,473","74,821",,,,662
Mayotte,"42,008",,188                                ,,N/A,N/A,N/A,,"146,748",657,"176,919","618,038","286,259 ",Africa,7,"1,523",2,,,"135,737"
Mauritius,"41,898",,"1,043                                ",,"40,159",,696,,"32,868",818,"358,675","281,374","1,274,727 ",Africa,30,"1,222",4,,,546
Togo,"39,465",,290                                ,,"39,155",,20,,"4,546",33,"810,046","93,314","8,680,837 ",Africa,220,"29,934",11,,,2
Guinea,"38,280",,467                                ,,"37,757",,56,8,"2,761",34,"660,107","47,607","13,865,691 ",Africa,362,"29,691",21,,,4
Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732 ",Europe,2,739,1,,,"129,450"
Bahamas,"37,491",,833                                ,,"36,366",,292,1,"93,607","2,080","257,839","643,767","400,516 ",North America,11,481,2,,,729
Lesotho,"34,790",,723                                ,,"25,980",,"8,087",,"15,990",332,"431,221","198,199","2,175,699 ",Africa,63,"3,009",5,,,"3,717"
Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233 ",Europe,1,"1,758",0,,,"547,133"
Haiti,"34,218",,860                                ,,"33,216",,142,,"2,930",74,"132,422","11,337","11,680,283 ",North America,341,"13,582",88,,,12
Mali,"33,133",,743                                ,,"32,299",,91,,"1,543",35,"802,135","37,354","21,473,764 ",Africa,648,"28,901",27,,,4
Cayman Islands,"31,472",,37                                ,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280","67,277 ",North America,2,"1,818",0,,,"340,116"
